activity type;name;reference product;database;code;location;unit;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;basic oxygen furnace slag, for recovery to generic market for supplementary cementitious materials;supplementary cementitious materials;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fc373d38546153c34923c507309ae044;RoW;kilogram;2394;Manufacture of cement, lime and plaster;15;Stone, sand and clay;OreMinFuel;Ores, minerals & fuels
;market for chlorine, for reuse in zirconium and hafnium tetrachloride production;chlorine, for reuse in zirconium and hafnium tetrachloride production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8bb44ba172bc548192be3621c85fce53;RoW;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
;fibre, silk, short to generic market for silky fibres;silky fibre;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4f8dcc9873c4f561c056e9d84f73ab90;GLO;kilogram;2030;Manufacture of man-made fibres;26220;Artificial staple fibres, carded, combed or otherwise processed for spinning;ProcBio;Textile
;market for train, passenger, high speed;train, passenger, high speed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d0d0370280e972d16ca64deb4e09b0ca;GLO;unit;3020;Manufacture of railway locomotives and rolling stock;49520;Self-propelled railway or tramway coaches, vans and trucks (except maintenance or service vehicles);MachElecTrans;Transport vehicles
;market for iron(II) chloride;iron(II) chloride;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6c802a66fa6db44788fe1160026ad951;GLO;kilogram;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
;market for bale loading;bale loading;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7e2523c0c9496193830fdd35910894dd;GLO;unit;163;Post-harvest crop activities;86111;Post-harvest crop services;;
;market for methyl formate;methyl formate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0b5eb5e614c3cb3366c96126356958ce;GLO;kilogram;2011;Manufacture of basic chemicals;34140;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […];Chemical;Chemical products
;market for air distribution terminal panel, steel, 120 m3/h;air distribution terminal panel, steel, 120 m3/h;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;28d064dafa33526445db5d34e073c09d;GLO;unit;2819;Manufacture of other general-purpose machinery;43914;Filtering or purifying machinery and apparatus, for liquids or gases, except oil filters, petrol filters and a[…];MachElecTrans;Metal/electronic equipments and parts
;market for maintenance, locomotive;maintenance, locomotive;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;78a16555850917d3b6fb44b6ef00253b;GLO;unit;3315;Repair of transport equipment, except motor vehicles;87149;Maintenance and repair services of other transport equipment;;
;market for dodecanol;dodecanol;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e1dbb445694edaab0389d52f76952924;GLO;kilogram;2011;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
;market for methylene diphenyl diisocyanate;methylene diphenyl diisocyanate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c15d7becd2020002d3237cad9dca28f5;RoW;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;347;Plastics in primary forms;PlastRub;Plastics & rubber products
;market for used cable;used cable;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;83e7aaeb6306d67a93603a9087f0e766;GLO;kilogram;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for aluminium melting furnace;aluminium melting furnace;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6c2175a0500c77fcb5c3c2df2d062a93;GLO;unit;2815;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments and parts
;praseodymium-neodymium oxide to generic market for mischmetal;mischmetal;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;11741bbd4ff6f9a4619750896fd5d149;GLO;kilogram;729;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
;market for water pump, 22kW;water pump, 22kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ccff740443b5b181a22b4724eab96ed7;GLO;unit;2812;Manufacture of fluid power equipment;43220;"Pumps for liquids; liquid elevators";MachElecTrans;Metal/electronic equipments and parts
;market for chloridazon;chloridazon;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;60391cd11307b0ca5082770ce0baec14;GLO;kilogram;2011;Manufacture of basic chemicals;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
;market for charger, electric passenger car;charger, electric passenger car;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ded06c634985a223504c8bdd47bd12be;GLO;kilogram;2790;Manufacture of other electrical equipment;464;Accumulators, primary cells and primary batteries, and parts thereof;MachElecTrans;Metal/electronic equipments and parts
;market for potato seed, organic, at farm;potato seed, organic, at farm;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3f5a669733e791a495a35089ee54a49c;GLO;kilogram;113;Growing of vegetables and melons, roots and tubers;1510;Potatoes;OreMinFuel;Ores, minerals & fuels
;market for intermodal shipping container, 45-foot, high-cube;intermodal shipping container, 45-foot, high-cube;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d9394932fdda26beadc976ac7d6f2d9d;GLO;unit;2920;"Manufacture of bodies (coachwork) for motor vehicles; manufacture of traile";49221;Containers specially designed and equipped for carriage by one or more modes of transport;MachElecTrans;Transport vehicles
;market for blast furnace dust, for recovery;blast furnace dust, for recovery;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a956d7e7e98250310ac5f61672e0a7a8;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for tractor, 4-wheel, agricultural;tractor, 4-wheel, agricultural;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ed8ee668aa39ae6aab447e4080d6ac6f;GLO;kilogram;2821;Manufacture of agricultural and forestry machinery;4414;Agricultural tractors;MachElecTrans;Metal/electronic equipments and parts
;market for barley grain, feed, organic;barley grain, feed, organic;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;cf359d5de770ce4e5d07aeed5128f8be;GLO;kilogram;1080;Manufacture of prepared animal feeds;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
;market for sewage sludge, 70% water, WWT, WW from PV cell production;sewage sludge, 70% water, WWT, WW from PV cell production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3d7156fe2dc5764936051071b0b2be1f;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;landed tuna to generic market for marine fish;marine fish;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e383cf7df6f6faf6dcabab58e9df178f;GLO;kilogram;311;Marine fishing;4211;Wild freshwater fish, live, fresh or chilled;ProcBio;Food & beverages, animal feed
;market for oat seed, Swiss integrated production, at farm;oat seed, Swiss integrated production, at farm;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c8d7ec0c8ddf1f114dfa10a5958b24f2;GLO;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1171;Oats, seed;OreMinFuel;Ores, minerals & fuels
;market for maintenance, mini CHP plant;maintenance, mini CHP plant;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;642602a0778839e0933c99bbb8489502;GLO;unit;3314;Repair of electrical equipment;87152;Maintenance and repair services of electrical machinery and apparatus n.e.c.;;
;market for packaging glass sorting facility;packaging glass sorting facility;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c0f67ff20334a36d326b2281fa72d3ea;GLO;unit;4290;Construction of other civil engineering projects;53290;Other civil engineering works;;
;market for vegetable oil refinery;vegetable oil refinery;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7f4fabd7c734d1dec266caac22144d2d;GLO;unit;4290;Construction of other civil engineering projects;53269;Other constructions for manufacturing;;
;market for spent activated carbon with mercury;spent activated carbon with mercury;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4b054ec778ff7ddb6505e4679c815c21;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;39950;Wastes from chemical or allied industries;AgriForeAnim;Agricultural and forestry products
;market for aircraft, passenger, short haul;aircraft, passenger, short haul;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4f2a802ff7a5e2149b49f4ffaca7a38a;GLO;unit;3030;Manufacture of air and spacecraft and related machinery;49623;Aeroplanes and other powered aircraft of an unladen weight exceeding 2000 kg;MachElecTrans;Transport vehicles
;market for lauric diethanolamide;lauric diethanolamide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;23b173bfc900086e60d679f6a95f0b55;GLO;kilogram;2011;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
;market for cathode, for aluminium electrolysis;cathode, for aluminium electrolysis;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;232ec32a22884075e0bdb3821c15aa6e;GLO;kilogram;2790;Manufacture of other electrical equipment;46;Electrical machinery and apparatus;MachElecTrans;Metal/electronic equipments and parts
;market for barge tanker;barge tanker;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;289ecbe1d9933ef5335e0657a7113074;GLO;unit;3011;Building of ships and floating structures;49314;Other vessels for the transport of goods and other vessels for the transport of both persons and goods;MachElecTrans;Transport vehicles
;market for industrial machine, heavy, unspecified;industrial machine, heavy, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5340fc89b4e8c853bf77df859c7401f3;RoW;kilogram;2824;Manufacture of machinery for mining, quarrying and construction;444;Machinery for mining, quarrying and construction, and parts thereof;MachElecTrans;Metal/electronic equipments and parts
;market for cashew;cashew;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;012416a0c39606abb948b1b81768bb3d;GLO;kilogram;125;Growing of other tree and bush fruits and nuts;1372;Cashew nuts, in shell;OreMinFuel;Ores, minerals & fuels
;market for grass seed, Swiss integrated production, at farm;grass seed, Swiss integrated production, at farm;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2a50dedb7279fa6099f6e8db81749868;GLO;kilogram;119;Growing of other non-perennial crops;1940;Beet seeds (excluding sugar beet seeds) and seeds of forage plants;;
;market for television;television;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;78fcfb9cc9f1b33b7aac8afa5768f8b7;GLO;unit;2640;Manufacture of consumer electronics;88744;Consumer electronics manufacturing services;;
;market for seed-cotton;seed-cotton;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;642a9c33f997c7d956cf8d07eb2c0b44;GLO;kilogram;116;Growing of fibre crops;1921;Cotton, whether or not ginned;;
;market for titanium, triple-melt;titanium, triple-melt;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ff07af9c5c546b9696665be9f30fc05b;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
;market for cast iron removed by turning, primarily dressing, conventional;cast iron removed by turning, primarily dressing, conventional;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;581fdc342e06de0cf32392aa4d62a29c;GLO;kilogram;2592;"Treatment and coating of metals; machining";39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for waste wood, untreated;waste wood, untreated;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5bbbb560cc5b244e9ac301f7d4feda87;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;3928;Sawdust and wood waste and scrap;AgriForeAnim;Agricultural and forestry products
;market for fibre, polyester;fibre, polyester;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a09e2b3f43dab96cacc1dd4bab15e737;GLO;kilogram;2030;Manufacture of man-made fibres;35510;Synthetic filament tow and staple fibres, not carded or combed;PlastRub;Plastics & rubber products
;market for pea seed, for sowing;pea seed, for sowing;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a551bec6813032b341f4d9cbb1419a19;GLO;kilogram;164;Seed processing for propagation;1260;Vegetable seeds, except beet seeds;OreMinFuel;Ores, minerals & fuels
;market for residue from shredder fraction from manual dismantling;residue from shredder fraction from manual dismantling;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;af61450bbf2d1ddcb4abac5900440236;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for cadmium;cadmium;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e792832186cc7dd78939132f03d8d615;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
;market for chromium steel removed by milling, large parts;chromium steel removed by milling, large parts;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4bbbc8e9d6e314598f886a7968c26b90;GLO;kilogram;2592;"Treatment and coating of metals; machining";39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for nuclear fuel element, for boiling water reactor, UO2 4.0% & MOX;nuclear fuel element, for boiling water reactor, UO2 4.0% & MOX;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;bed662c65b77a2f151383ef73800c74b;GLO;kilogram;2011;Manufacture of basic chemicals;33710;Fuel elements (cartridges), non-irradiated, for nuclear reactors;OreMinFuel;Ores, minerals & fuels
;market for papaya;papaya;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0bc279bb922c277c26f9d554943bb902;GLO;kilogram;122;Growing of tropical and subtropical fruits;1317;Papayas;OreMinFuel;Ores, minerals & fuels
;blast furnace sludge to market for blast furnace sludge, for recovery;blast furnace sludge;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ae7e05400cdf93bcd80707b213eb2bb7;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for molasses, from sugar beet;molasses, from sugar beet;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0e3600cdd62c7976730357f29b48742e;GLO;kilogram;1072;Manufacture of sugar;23540;Molasses;ProcBio;Food & beverages, animal feed
;market for water works, capacity 1.1E10l/year;water works, capacity 1.1E10l/year;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7839f717e467ae858f03580c62f30f7b;RoW;unit;4220;Construction of utility projects;53253;Sewage and water treatment plants;;
;market for sewage sludge, 97% water, WWT, WW from vegetable oil refinery;sewage sludge, 97% water, WWT, WW from vegetable oil refinery;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;be95eb1e24856d9dd206c5752e82d47d;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;market for sewage sludge, 70% water, WWT, WW from medium density board production;sewage sludge, 70% water, WWT, WW from medium density board production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5e185a8be91047416bf27ccaee5378e6;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;market for sewage sludge, 75% water, WWT, WW from ammonium paratungstate production;sewage sludge, 75% water, WWT, WW from ammonium paratungstate production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e40a2db7b963fe8af5ec819dc3ed4f46;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
